Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,136663.40252545502,2384751.8306734273
-190.0,-9.5,133580.72567339437,2310903.3441183125
-180.0,-9.0,133265.79884465464,2234118.8311380884
-170.0,-8.5,143516.29664933967,2118661.968405052
-160.0,-8.0,170723.60027397188,1986913.1151208975
-150.0,-7.5,215131.4898833058,1833186.603986692
-140.0,-7.0,278691.16746347956,1688424.8132423146
-130.0,-6.5,365240.9194207059,1554824.8282317626
-120.0,-6.0,472857.7612211708,1417433.6083406669
-110.0,-5.5,587776.501777777,1216620.0101183057
-100.0,-5.0,716541.4703030091,1044218.3917223463
-90.0,-4.5,869118.2053912911,884166.6684917548
-80.0,-4.0,1022578.874377455,719716.5570366309
-70.0,-3.5,1178528.1564457142,562092.5754678022
-60.0,-3.0,1341557.38251551,425060.5511123631
-50.0,-2.5,1489972.179456857,301261.57128416724
-40.0,-2.0,1636744.0826508761,202466.98306865554
-30.0,-1.5,1780331.277492886,130911.9818243286
-20.0,-1.0,1909281.3147639697,85191.48681139885
-10.0,-0.5,2023755.558299666,66674.82906764971
0.0,0.0,2124437.0385728152,74422.31307147039
10.0,0.5,2205247.027782792,107505.40213691158
20.0,1.0,2269371.883800091,164983.17201720405
30.0,1.5,2306433.874735643,243973.82259735613
40.0,2.0,2335053.0929092895,342675.2466209165
50.0,2.5,2333134.8412763574,458729.8314835877
60.0,3.0,2313173.229615695,590390.5237298583
70.0,3.5,2278649.6161694434,738863.9637282975
80.0,4.0,2214534.8895948376,892806.589153397
90.0,4.5,2132549.2080511358,1059502.0646685532
100.0,5.0,2037934.3079720868,1226735.129297794
110.0,5.5,1926811.2096331497,1401194.8643511534
120.0,6.0,1802689.8392608643,1560253.3642529792
130.0,6.5,1664862.4792788564,1718869.606805999
140.0,7.0,1511692.2288925159,1888730.1072811228
150.0,7.5,1353755.4893033598,2044602.1987092465
160.0,8.0,1190426.0216571528,2195119.669688692
170.0,8.5,1028585.0219342643,2332239.7919411464
180.0,9.0,872048.4164667366,2452956.911720749
190.0,9.5,720723.7855472901,2546453.1296053366
200.0,10.0,582918.0985636859,2638913.9142221333
