Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,11701605.789490148,19367088.43110814
-190.0,-9.5,12185613.725067675,19375422.212953225
-180.0,-9.0,13312847.33731886,19360513.01620474
-170.0,-8.5,14389899.063114068,19348083.266272515
-160.0,-8.0,15046592.291006902,19353836.607412186
-150.0,-7.5,15283158.70801861,19343845.843524754
-140.0,-7.0,11390888.545195118,14348244.165032497
-130.0,-6.5,7457603.268101205,9450711.675083213
-120.0,-6.0,15732437.31250801,18852976.373678733
-110.0,-5.5,15873129.853664309,18518673.901696365
-100.0,-5.0,16096817.979747428,18093906.16078955
-90.0,-4.5,16378597.850779656,17350512.62603024
-80.0,-4.0,16795823.615356803,16695961.390335768
-70.0,-3.5,16351229.806793299,14806230.789866665
-60.0,-3.0,16451463.912985045,13521617.44792567
-50.0,-2.5,16758827.826394437,12373968.114055932
-40.0,-2.0,16958735.790149868,11152427.445175909
-30.0,-1.5,16840787.027653314,11524651.325142687
-20.0,-1.0,16270394.300341908,11460974.67029653
-10.0,-0.5,16075096.030262094,12815148.623947687
0.0,0.0,15805556.680581909,14006577.747718878
10.0,0.5,15375308.358413648,14977167.991109284
20.0,1.0,14698714.68651555,15847920.15348019
30.0,1.5,14311989.337545447,17017157.381609276
40.0,2.0,14069236.246337771,17985999.59174523
50.0,2.5,13754922.316728752,18524506.057001967
60.0,3.0,12741747.565202322,18721534.982413378
70.0,3.5,12266538.930436416,19001046.75323563
80.0,4.0,11707345.81367658,19182939.07219042
90.0,4.5,10681894.913983181,19265406.00542338
100.0,5.0,9346371.576431124,19254840.277637366
110.0,5.5,8391606.679879267,19276014.2905252
120.0,6.0,7427778.892962501,19309244.057075493
130.0,6.5,6094137.7480296735,19337495.414273366
140.0,7.0,4866670.945012205,19337409.77350287
150.0,7.5,3583530.8116353704,19355283.876501016
160.0,8.0,2577649.2508414066,19341579.064572003
170.0,8.5,1767515.395535414,19361698.18687624
180.0,9.0,1086706.8227641112,19330902.26671285
190.0,9.5,901448.958195294,19347185.689488657
200.0,10.0,1084009.99851803,19348123.06984549
