Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,1964.8699166081872,9557.724196888534
-190.0,-9.5,2130.0312407613533,8677.388951849289
-180.0,-9.0,2388.2260948507696,7987.278443003615
-170.0,-8.5,2816.1731072705857,7346.711481820299
-160.0,-8.0,2986.891704433922,6183.721500018929
-150.0,-7.5,3381.7392452071076,5116.398310656192
-140.0,-7.0,3463.747468374758,4086.1085232549526
-130.0,-6.5,3696.874588837813,3443.1870161376937
-120.0,-6.0,4138.280015011959,2717.0826726778832
-110.0,-5.5,4148.5146334268575,2159.3780273344983
-100.0,-5.0,4281.806571792158,1713.9169959614355
-90.0,-4.5,4450.972980905321,1601.1553810505045
-80.0,-4.0,4453.085075921191,1666.919592373004
-70.0,-3.5,4264.139462472513,1958.9572098946285
-60.0,-3.0,4100.767169100086,2494.907143909885
-50.0,-2.5,3910.9575479396817,3421.3414885029583
-40.0,-2.0,3546.1176482977135,4407.260760531717
-30.0,-1.5,3049.651106266726,5462.507201763238
-20.0,-1.0,2633.473217368598,6843.643901868244
-10.0,-0.5,2066.268906575109,7865.9552835564
0.0,0.0,1681.3074722054787,8952.713575371066
10.0,0.5,1221.4272381655799,10256.206059347978
20.0,1.0,922.3957693325027,11125.46612395546
30.0,1.5,636.2769890037795,12042.463075135696
40.0,2.0,470.77207114353433,12470.981081244156
50.0,2.5,313.3551673787597,12730.178022050755
60.0,3.0,246.88752482096154,13379.711022555335
70.0,3.5,163.15467929329043,13673.158001262094
80.0,4.0,255.65118437822602,13545.533765285229
90.0,4.5,324.26540706226695,13122.802194394135
100.0,5.0,462.68863891798475,12856.773985933938
110.0,5.5,661.7100438942321,12070.984274407412
120.0,6.0,922.2729820318934,11622.430394926192
130.0,6.5,1191.845903713056,10460.984705795312
140.0,7.0,1594.1442168392762,9525.061450427935
150.0,7.5,1919.3080699740815,8361.775541763702
160.0,8.0,2335.279897560807,7297.500822258429
170.0,8.5,2722.298743266433,5865.787087265017
180.0,9.0,3114.0052560853574,4745.198287574905
190.0,9.5,3356.443659634188,3686.112161515172
200.0,10.0,3627.9600628931325,2672.185732383416
