Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
0.0,0.0,445054.2778609255,245704.41037359994
1.0,0.05,432139.57197845593,241553.72519668375
2.0,0.1,422652.95582446916,239362.94647036312
3.0,0.15,411402.0482552788,235501.61213838082
4.0,0.2,400291.0649004599,240626.42211189182
5.0,0.25,379971.6954258863,242301.4202669657
6.0,0.3,368015.6281215614,247983.19258550156
7.0,0.35,361426.0827977037,243645.51625442196
8.0,0.4,356905.77987100923,240268.60673307686
9.0,0.45,358473.1342466801,238255.34127500255
10.0,0.5,352003.7525363559,232800.1827987365
11.0,0.55,341651.4990780569,238538.5038076005
12.0,0.6,324548.80564186256,239724.07673049142
13.0,0.65,317796.98856347025,237117.10618583375
14.0,0.7,306983.4381505375,235876.74873775375
15.0,0.75,305653.7219677722,242338.56810473456
16.0,0.8,295932.5800039936,242050.455696259
17.0,0.85,287336.3608146777,238524.25085024463
18.0,0.9,278663.4891298401,235597.14121451645
19.0,0.95,274424.5911864009,236857.9277418728
20.0,1.0,267088.64547872316,241286.58646146941
21.0,1.05,263383.0693325834,238320.57767335797
22.0,1.1,251967.5432556001,240114.54852261578
23.0,1.15,241542.98067828632,237886.07996149547
24.0,1.2,237036.61882694118,241585.21299963267
25.0,1.25,229406.56419560383,240025.08571505995
26.0,1.3,223663.5724513265,239303.12621929502
27.0,1.35,213281.48795034032,238334.1028818601
28.0,1.4,208754.38744606453,238517.87023488444
29.0,1.45,201075.0447205364,238823.74350432068
30.0,1.5,189397.48049361716,239384.53526118235
31.0,1.55,181559.0578034443,243430.85746700395
32.0,1.6,176207.03075475324,241924.12082428785
33.0,1.65,167377.17612806268,241170.45988760566
34.0,1.7,159823.44082773218,241170.70710292296
35.0,1.75,153728.96378931392,240981.06367527734
36.0,1.8,148327.51600611614,240912.13277378635
37.0,1.85,140236.1425586294,241482.63616874735
38.0,1.9,136817.0414301661,241855.80249271396
39.0,1.95,131500.46700116878,239291.03003146363
40.0,2.0,127226.52657113416,239368.3490292487
41.0,2.05,122604.6433194813,238430.43066257387
42.0,2.1,117161.61346544593,235966.49977582452
43.0,2.15,112189.83845732006,237019.275200557
44.0,2.2,108149.9281802578,237476.46012032402
45.0,2.25,104269.79407541241,237830.59985870897
46.0,2.3,98616.81253901155,241450.32655789735
47.0,2.35,94832.53063011265,241666.4093768685
48.0,2.4,89715.57223215235,238607.0600592125
49.0,2.45,87322.39948326418,245347.1595468178
50.0,2.5,84446.3124397136,244258.64576625166
51.0,2.55,80604.25889701927,249699.9003071838
52.0,2.6,76169.44477564776,246592.00751867393
53.0,2.65,72752.6754655331,247209.97541767667
54.0,2.7,69473.67087667719,244696.61504698565
55.0,2.75,67232.74139958319,247104.56290256276
56.0,2.8,63630.266431232085,242695.55270798548
57.0,2.85,61312.48388406179,241414.78870687468
58.0,2.9,59426.02590987224,236136.45441305096
59.0,2.95,57126.675333582316,234729.01604937433
60.0,3.0,55418.48491327088,233776.66093269055
61.0,3.05,52546.998483275944,231776.86197812643
62.0,3.1,50566.83070064817,231570.20917077447
63.0,3.15,49752.51703464928,231666.56489569027
64.0,3.2,47367.38058774126,228164.1568363171
65.0,3.25,46271.34379009412,229844.87703703908
66.0,3.3,44906.57331970353,233530.04190743997
67.0,3.35,44854.259450954625,239463.00804433692
68.0,3.4,44122.12847135643,238701.25875616953
69.0,3.45,43341.507155448984,238844.88751076214
70.0,3.5,43209.00299334821,237318.1835690648
71.0,3.55,43000.08574471787,237733.5204784036
72.0,3.6,42809.27433859564,236450.51703841717
73.0,3.65,43182.12746306633,236587.57583949386
74.0,3.7,43181.46047771515,235556.5924089302
75.0,3.75,43606.61113758386,236156.01553960308
76.0,3.8,44072.697104817285,234688.2593420065
77.0,3.85,44648.6624481634,232987.99467747082
78.0,3.9,44259.28592011015,224831.56731857336
79.0,3.95,44809.947113018745,223623.31615452206
80.0,4.0,45744.20940198226,220199.96413808872
81.0,4.05,46862.57184258251,220632.28278787088
82.0,4.1,48437.33993326692,222185.43683818946
83.0,4.15,49568.64458836757,223854.3396319455
84.0,4.2,50479.40522359706,228840.60209597493
85.0,4.25,52421.81408699877,231955.57848137934
86.0,4.3,53495.33781884074,229401.3321489162
87.0,4.35,54434.82743488775,228502.76264647781
88.0,4.4,57281.04363213024,232344.36871295774
89.0,4.45,59940.016081919486,230824.03902505667
90.0,4.5,62345.33783015726,225723.07230503662
91.0,4.55,65915.71254845991,231789.9430679518
92.0,4.6,68315.96179738991,226990.587633204
93.0,4.65,71908.1278696219,223408.8332255061
94.0,4.7,73920.33791239955,218050.2064887198
95.0,4.75,76862.50123725132,217428.1805088866
96.0,4.8,78839.32836820488,215105.3944814048
97.0,4.85,82205.67438021817,213809.16481513024
98.0,4.9,85270.23693317627,212586.17132994786
99.0,4.95,88831.16546225522,213755.71317254403
100.0,5.0,91132.80292019615,210933.24244583503
101.0,5.05,95243.34945651327,211934.38505502918
102.0,5.1,97773.17843714936,208791.02132268215
103.0,5.15,100677.04727032148,207875.74118561158
104.0,5.2,103736.14230457923,205832.10074294964
105.0,5.25,107902.02309537971,207300.84883794046
106.0,5.3,111645.09952484927,208005.42359181689
107.0,5.35,114889.27001709897,209716.62495104648
108.0,5.4,116866.57868565341,213520.55681567226
109.0,5.45,120058.96331169418,215804.7632630702
110.0,5.5,125149.50316432136,218270.5048074754
111.0,5.55,130711.26241059543,219340.1226007357
112.0,5.6,134674.5431702044,219316.78290196863
113.0,5.65,140544.28588996132,222046.83602704122
114.0,5.7,145591.36985045738,219452.55458039296
115.0,5.75,151966.35723146363,218073.87698993692
116.0,5.8,157584.2623763647,217608.54686209015
117.0,5.85,161713.38462620374,216634.35605508616
118.0,5.9,168786.74241669851,218101.4159909583
119.0,5.95,168917.39514468785,216901.957700499
120.0,6.0,171551.18816565225,218310.75604792484
121.0,6.05,173925.55286870006,213681.71732062966
122.0,6.1,181844.273485291,216595.02764283968
123.0,6.15,185737.00898899572,214563.85884991667
124.0,6.2,190953.94315947514,216889.95074721868
125.0,6.25,194134.19992971656,212890.62860470221
126.0,6.3,201080.21918393346,210567.38413149185
127.0,6.35,209356.01928253184,214762.80268624064
128.0,6.4,215756.48850160005,208605.4335751175
129.0,6.45,224526.37658254223,213043.00988386027
130.0,6.5,229283.22891771275,211595.10404795627
131.0,6.55,238304.98988117694,210978.3467033599
132.0,6.6,246440.40772918926,211610.21662991875
133.0,6.65,253796.63207812185,213569.2343330696
134.0,6.7,266617.4625478121,209294.73054413323
135.0,6.75,274233.6240532255,207217.1107701849
136.0,6.8,278940.2692731348,203611.0198942136
137.0,6.85,285069.6581076402,202279.28467944844
138.0,6.9,290498.5188841355,203273.1697589174
139.0,6.95,301163.7392207514,206092.30081791122
140.0,7.0,307581.38955219765,202449.04660538866
141.0,7.05,315505.4680209405,203634.66489737682
142.0,7.1,321874.8299411238,202518.9596850391
143.0,7.15,327851.1741671255,203950.68600527098
144.0,7.2,331686.96216997254,203301.62923089683
145.0,7.25,342779.0307100468,205923.67403286605
146.0,7.3,352668.04914247955,206970.43236774422
147.0,7.35,363760.87645021494,208027.31301466515
148.0,7.4,371612.61314756464,212102.35701471433
149.0,7.45,374056.66000216996,219159.12252394212
150.0,7.5,371404.49490006745,216494.3028797451
151.0,7.55,377135.47650109563,213915.64534609162
152.0,7.6,378765.73249469395,212893.02747033644
153.0,7.65,384736.0825012841,213209.76459017376
154.0,7.7,390579.21302156226,210373.38806134567
155.0,7.75,399018.5936241758,209043.2095963412
156.0,7.8,405302.5525129457,205406.7749795418
157.0,7.85,405876.0682006792,208142.9161415547
158.0,7.9,419621.3119880759,203764.2976039576
159.0,7.95,430249.0826489702,201001.49372677715
160.0,8.0,440740.43703141535,204796.13909898294
161.0,8.05,446071.76799204387,209335.1093335381
162.0,8.1,456658.44876239443,208799.8100341123
163.0,8.15,464631.8720511325,206314.72400573385
164.0,8.2,489896.7443985579,206661.33242367147
165.0,8.25,500214.06224764185,204558.34415378433
166.0,8.3,509933.3410784267,201026.31463289814
167.0,8.35,520447.0233543895,205786.19588145084
168.0,8.4,523582.95783339994,207416.28594372014
169.0,8.45,519873.5217996155,205112.68504143757
170.0,8.5,525194.373009787,202597.50677476265
171.0,8.55,525867.1597519933,201319.42352926653
172.0,8.6,535391.2120696162,202595.38065518727
173.0,8.65,543698.3062029441,201244.39116357692
174.0,8.7,557506.2720138339,207026.80947581865
175.0,8.75,565817.195618834,203204.2176450415
176.0,8.8,574676.9362316724,205249.1381051108
177.0,8.85,577763.5624185358,201174.08355291147
178.0,8.9,582209.6941189414,200591.29456409777
179.0,8.95,586582.5688652508,202097.1650011199
180.0,9.0,587828.6699993465,200364.95908164544
181.0,9.05,600319.3174047841,200318.59912111523
182.0,9.1,605013.1076716726,200158.24461693544
183.0,9.15,621556.51315702,204715.74472740656
184.0,9.2,634113.997812536,204176.00006192783
185.0,9.25,638910.1152270924,209249.9898099347
186.0,9.3,642006.0089852356,209420.7073333103
187.0,9.35,649009.3246537471,208750.24958812437
188.0,9.4,669777.8634405301,212890.23880230257
189.0,9.45,664475.6359458632,211343.52505356813
190.0,9.5,667128.4414429154,211279.16050142195
191.0,9.55,678048.0801683263,210775.87114262773
192.0,9.6,682253.8638329166,208180.76677629203
193.0,9.65,692450.9550553827,206351.9701294522
194.0,9.7,705462.8381967274,205141.68251618417
195.0,9.75,708865.2172726,207074.71523826645
196.0,9.8,719006.0981550133,208286.22579357712
197.0,9.85,721269.1127753521,206992.98550922523
198.0,9.9,730150.9237666455,207294.9937746985
199.0,9.95,733051.8486202096,206165.08080204626
200.0,10.0,743851.8563968545,209474.5078553832
