Target_Voltage_V,DAQ_Voltage_V,PFI1_Rate_Hz,PFI2_Rate_Hz
-200.0,-10.0,15257327.491370156,3182343.585235885
-190.0,-9.5,15382955.45589455,3252358.5117374165
-180.0,-9.0,15411321.393414795,3276371.462129352
-170.0,-8.5,15431062.180858057,3291946.9469085485
-160.0,-8.0,15615389.048643462,3304450.550267872
-150.0,-7.5,15728341.553551862,3194192.7469657375
-140.0,-7.0,15604113.454139687,3100457.886994387
-130.0,-6.5,15843261.887333067,3132358.416931996
-120.0,-6.0,16022634.298435962,3143786.696697225
-110.0,-5.5,16010559.774194708,3188850.346453832
-100.0,-5.0,16005906.012584627,3224011.207012753
-90.0,-4.5,16292200.498266086,3282895.0480335285
-80.0,-4.0,16265176.612358585,3280420.5216369736
-70.0,-3.5,16569012.922820706,3406644.4899155553
-60.0,-3.0,16465292.7681904,3399879.246747628
-50.0,-2.5,16618965.044497212,3500374.884060921
-40.0,-2.0,16587617.593457902,3502567.5828584386
-30.0,-1.5,16397028.951630367,3439303.5787229193
-20.0,-1.0,16616177.11327433,3519224.549895081
-10.0,-0.5,16618924.872195581,3524045.630901079
0.0,0.0,16553382.328308696,3467405.3586903927
10.0,0.5,16655097.799355999,3537256.7124905786
20.0,1.0,16670039.711386863,3520466.5685512563
30.0,1.5,16585919.049006691,3475857.8138500513
40.0,2.0,16644537.294035135,3506166.1071365383
50.0,2.5,16602679.938859578,3219851.683813735
60.0,3.0,16643930.505872725,3276813.5661717723
70.0,3.5,16517151.688257605,3277961.0306599285
80.0,4.0,16552022.465183955,3341771.4761729916
90.0,4.5,16583769.428019067,3294513.7744544395
100.0,5.0,16465447.950466562,3225005.9482894074
110.0,5.5,16420277.523748852,3231441.8432859015
120.0,6.0,16458265.404743453,3257715.0508637326
130.0,6.5,16411521.049814234,3188111.9030233887
140.0,7.0,16306068.391021147,3236269.6088973526
150.0,7.5,16244341.84414698,3128536.363143655
160.0,8.0,16224108.194919772,3171023.950696118
170.0,8.5,16112763.920199854,3137409.734064778
180.0,9.0,16205101.598804599,3183291.663749535
190.0,9.5,16134808.856067963,3128948.577728986
200.0,10.0,16058834.316272678,3103172.88100118
